* Measurement data measured by REW V5.20.4
* Source: Microphone (BGVP HiFi Audio-T01s), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 30 May, 2023 12:15:32 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: HA-FDX1 White R
* Smoothing: None
* Frequency Step: 1/96 octave
* Start Frequency: 0.366 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
14.040393 88.822 -130.1645
14.142136 88.842 -130.5277
14.244616 88.862 -130.8903
14.347837 88.882 -131.2525
14.451808 88.901 -131.6142
14.556532 88.919 -131.9752
14.662014 88.937 -132.3355
14.768262 88.955 -132.6951
14.875278 88.973 -133.0540
14.983070 88.989 -133.4119
15.091644 89.006 -133.7688
15.201005 89.022 -134.1246
15.311157 89.038 -134.4792
15.422109 89.054 -134.8328
15.533863 89.069 -135.1849
15.646428 89.084 -135.5358
15.759809 89.098 -135.8856
15.874010 89.113 -136.2340
15.989040 89.127 -136.5811
16.104904 89.141 -136.9274
16.221605 89.155 -137.2725
16.339155 89.169 -137.6166
16.457554 89.183 -137.9602
16.576813 89.197 -138.3033
16.696936 89.211 -138.6458
16.817928 89.224 -138.9882
16.939798 89.238 -139.3307
17.062551 89.251 -139.6731
17.186193 89.264 -140.0153
17.310732 89.277 -140.3576
17.436172 89.289 -140.6999
17.562521 89.302 -141.0412
17.689787 89.314 -141.3813
17.817974 89.325 -141.7204
17.947090 89.336 -142.0566
18.077143 89.347 -142.3898
18.208138 89.357 -142.7199
18.340080 89.368 -143.0454
18.472980 89.378 -143.3660
18.606844 89.388 -143.6822
18.741676 89.399 -143.9942
18.877487 89.410 -144.3011
19.014280 89.421 -144.6055
19.152065 89.433 -144.9086
19.290850 89.446 -145.2098
19.430639 89.459 -145.5133
19.571442 89.473 -145.8193
19.713264 89.488 -146.1284
19.856115 89.502 -146.4435
20.000000 89.516 -146.7640
20.144928 89.529 -147.0887
20.290907 89.542 -147.4187
20.437943 89.553 -147.7518
20.586044 89.563 -148.0838
20.735220 89.571 -148.4160
20.885475 89.578 -148.7428
21.036821 89.584 -149.0626
21.189262 89.588 -149.3749
21.342808 89.592 -149.6764
21.497467 89.596 -149.9678
21.653246 89.600 -150.2515
21.810154 89.604 -150.5260
21.968201 89.610 -150.7964
22.127390 89.616 -151.0650
22.287735 89.623 -151.3329
22.449242 89.630 -151.6054
22.611917 89.638 -151.8814
22.775772 89.645 -152.1620
22.940815 89.651 -152.4480
23.107054 89.657 -152.7348
23.274498 89.662 -153.0228
23.443153 89.665 -153.3075
23.613033 89.668 -153.5863
23.784142 89.670 -153.8589
23.956491 89.672 -154.1229
24.130091 89.674 -154.3804
24.304947 89.678 -154.6338
24.481071 89.682 -154.8844
24.658470 89.688 -155.1388
24.837156 89.694 -155.3969
25.017136 89.701 -155.6642
25.198421 89.707 -155.9399
25.381020 89.713 -156.2232
25.564941 89.717 -156.5135
25.750195 89.720 -156.8041
25.936790 89.721 -157.0945
26.124741 89.721 -157.3768
26.314051 89.719 -157.6513
26.504732 89.718 -157.9142
26.696796 89.716 -158.1667
26.890253 89.715 -158.4107
27.085112 89.715 -158.6485
27.281382 89.716 -158.8847
27.479073 89.718 -159.1210
27.678198 89.721 -159.3610
27.878765 89.724 -159.6039
28.080786 89.727 -159.8505
28.284271 89.729 -160.0979
28.489231 89.730 -160.3455
28.695675 89.732 -160.5902
28.903616 89.732 -160.8321
29.113064 89.733 -161.0706
29.324028 89.734 -161.3068
29.536524 89.735 -161.5416
29.750557 89.736 -161.7767
29.966141 89.737 -162.0124
30.183289 89.737 -162.2490
30.402010 89.737 -162.4857
30.622314 89.737 -162.7214
30.844217 89.736 -162.9552
31.067726 89.735 -163.1863
31.292856 89.734 -163.4150
31.519617 89.732 -163.6418
31.748020 89.731 -163.8675
31.978081 89.729 -164.0929
32.209808 89.727 -164.3181
32.443211 89.725 -164.5430
32.678310 89.723 -164.7666
32.915108 89.720 -164.9886
33.153625 89.717 -165.2083
33.393871 89.715 -165.4261
33.635857 89.712 -165.6423
33.879597 89.709 -165.8582
34.125103 89.707 -166.0739
34.372387 89.704 -166.2897
34.621464 89.702 -166.5048
34.872345 89.699 -166.7184
35.125042 89.696 -166.9300
35.379574 89.693 -167.1395
35.635948 89.691 -167.3481
35.894180 89.688 -167.5568
36.154285 89.686 -167.7673
36.416275 89.684 -167.9801
36.680161 89.681 -168.1943
36.945961 89.677 -168.4086
37.213688 89.673 -168.6199
37.483353 89.668 -168.8264
37.754974 89.662 -169.0273
38.028561 89.657 -169.2228
38.304131 89.651 -169.4149
38.581699 89.647 -169.6058
38.861279 89.642 -169.7967
39.142883 89.637 -169.9884
39.426529 89.631 -170.1801
39.712231 89.626 -170.3707
40.000000 89.620 -170.5595
40.289856 89.614 -170.7463
40.581814 89.608 -170.9322
40.875885 89.602 -171.1184
41.172089 89.596 -171.3057
41.470440 89.590 -171.4941
41.770950 89.584 -171.6829
42.073643 89.577 -171.8711
42.378525 89.570 -172.0581
42.685616 89.564 -172.2444
42.994934 89.557 -172.4304
43.306492 89.550 -172.6165
43.620308 89.543 -172.8024
43.936401 89.536 -172.9869
44.254780 89.529 -173.1689
44.575470 89.521 -173.3484
44.898483 89.514 -173.5262
45.223835 89.507 -173.7032
45.551544 89.500 -173.8792
45.881630 89.492 -174.0527
46.214108 89.484 -174.2215
46.548996 89.476 -174.3848
46.886307 89.468 -174.5449
47.226067 89.461 -174.7063
47.568283 89.454 -174.8726
47.912983 89.447 -175.0425
48.260181 89.437 -175.2096
48.609894 89.427 -175.3672
48.962143 89.418 -175.5143
49.316940 89.411 -175.6595
49.674313 89.405 -175.8163
50.034271 89.399 -175.9931
50.396843 89.391 -176.1848
50.762039 89.378 -176.3733
51.129883 89.363 -176.5399
51.500389 89.349 -176.6806
51.873581 89.339 -176.8116
52.249481 89.333 -176.9574
52.628101 89.326 -177.1297
53.009464 89.316 -177.3158
53.393593 89.302 -177.4889
53.780506 89.288 -177.6339
54.170223 89.278 -177.7646
54.562763 89.272 -177.9134
54.958145 89.265 -178.0987
55.356396 89.252 -178.3020
55.757530 89.231 -178.4772
56.161572 89.209 -178.5917
56.568542 89.194 -178.6607
56.978462 89.187 -178.7383
57.391350 89.184 -178.8671
57.807232 89.176 -179.0361
58.226128 89.161 -179.1930
58.648056 89.144 -179.3001
59.073048 89.135 -179.3756
59.501114 89.133 -179.4789
59.932281 89.132 -179.6476
60.366577 89.123 -179.8554
60.804020 89.105 179.9598
61.244629 89.086 179.8298
61.688435 89.073 179.7277
62.135452 89.064 179.6027
62.585712 89.054 179.4429
63.039234 89.038 179.2846
63.496040 89.021 179.1611
63.956161 89.007 179.0600
64.419617 88.996 178.9423
64.886421 88.983 178.8023
65.356621 88.964 178.6799
65.830215 88.946 178.6083
66.307251 88.937 178.5562
66.787743 88.936 178.4558
67.271713 88.933 178.2804
67.759193 88.918 178.0812
68.250206 88.895 177.9257
68.744774 88.874 177.8251
69.242928 88.859 177.7337
69.744690 88.846 177.6196
70.250084 88.831 177.4977
70.759148 88.815 177.3901
71.271896 88.802 177.2852
71.788361 88.790 177.1618
72.308571 88.773 177.0352
72.832550 88.756 176.9380
73.360321 88.743 176.8604
73.891922 88.735 176.7537
74.427376 88.722 176.6043
74.966705 88.701 176.4650
75.509949 88.678 176.3874
76.057121 88.663 176.3448
76.608261 88.654 176.2669
77.163399 88.642 176.1392
77.722557 88.624 176.0137
78.285767 88.605 175.9235
78.853058 88.589 175.8407
79.424461 88.576 175.7319
80.000000 88.558 175.6120
80.579712 88.537 175.5176
81.163628 88.520 175.4499
81.751770 88.507 175.3745
82.344177 88.494 175.2740
82.940880 88.479 175.1648
83.541901 88.460 175.0674
84.147285 88.442 174.9880
84.757050 88.424 174.9206
85.371231 88.409 174.8527
85.989868 88.394 174.7707
86.612984 88.378 174.6776
87.240616 88.359 174.5900
87.872803 88.340 174.5126
88.509560 88.321 174.4351
89.150940 88.302 174.3583
89.796967 88.284 174.2905
90.447670 88.267 174.2238
91.103088 88.251 174.1461
91.763260 88.233 174.0665
92.428215 88.214 173.9981
93.097992 88.196 173.9365
93.772614 88.179 173.8746
94.452133 88.161 173.8144
95.136566 88.144 173.7543
95.825966 88.126 173.6895
96.520363 88.108 173.6252
97.219788 88.089 173.5692
97.924286 88.071 173.5160
98.633881 88.053 173.4526
99.348625 88.034 173.3842
100.068542 88.013 173.3329
100.793686 87.995 173.2957
101.524078 87.979 173.2445
102.259766 87.960 173.1837
103.000778 87.940 173.1419
103.747162 87.923 173.1047
104.498962 87.906 173.0468
105.256203 87.885 172.9915
106.018929 87.864 172.9568
106.787186 87.845 172.9238
107.561012 87.826 172.8883
108.340446 87.807 172.8516
109.125526 87.788 172.8074
109.916290 87.767 172.7694
110.712791 87.747 172.7412
111.515060 87.728 172.7097
112.323143 87.708 172.6847
113.137085 87.691 172.6603
113.956924 87.674 172.6147
114.782700 87.653 172.5716
115.614464 87.634 172.5441
116.452255 87.614 172.5096
117.296112 87.592 172.4912
118.146095 87.573 172.4949
119.002228 87.557 172.4774
119.864563 87.538 172.4477
120.733154 87.517 172.4122
121.608040 87.491 172.3861
122.489258 87.468 172.4008
123.376869 87.451 172.3895
124.270905 87.430 172.3599
125.171425 87.410 172.3527
126.078468 87.391 172.3261
126.992081 87.370 172.3263
127.912323 87.353 172.3286
128.839233 87.333 172.3170
129.772842 87.314 172.3326
130.713242 87.295 172.3188
131.660431 87.271 172.3286
132.614502 87.252 172.3506
133.575485 87.232 172.3424
134.543427 87.212 172.3351
135.518387 87.190 172.3204
136.500412 87.168 172.3337
137.489548 87.150 172.3445
138.485855 87.130 172.3421
139.489380 87.109 172.3611
140.500168 87.090 172.3881
141.518295 87.070 172.3982
142.543793 87.048 172.4302
143.576721 87.029 172.4508
144.617142 87.006 172.4615
145.665100 86.985 172.5023
146.720642 86.966 172.5099
147.783844 86.944 172.5331
148.854752 86.925 172.5456
149.933411 86.900 172.5681
151.019897 86.880 172.6179
152.114243 86.863 172.6410
153.216522 86.842 172.6594
154.326797 86.821 172.7061
155.445114 86.806 172.7452
156.571533 86.787 172.7496
157.706116 86.761 172.8002
158.848923 86.744 172.8647
160.000000 86.718 172.9074
161.159424 86.703 173.0064
162.327255 86.681 173.0010
163.503540 86.660 173.0993
164.688354 86.647 173.0760
165.881760 86.616 173.0727
167.083801 86.590 173.1618
168.294571 86.570 173.1581
169.514099 86.531 173.3143
170.742462 86.532 173.4474
171.979736 86.516 173.4546
173.225967 86.499 173.4755
174.481232 86.479 173.5379
175.745605 86.453 173.5818
177.019119 86.445 173.7337
178.301880 86.419 173.6966
179.593933 86.389 173.8462
180.895340 86.368 173.9679
182.206177 86.348 173.9989
183.526520 86.320 174.1058
184.856430 86.297 174.2114
186.195984 86.294 174.2642
187.545227 86.251 174.3202
188.904266 86.233 174.5096
190.273132 86.219 174.7136
191.651932 86.205 174.7899
193.040726 86.197 174.8911
194.439575 86.163 174.9428
195.848572 86.145 175.1401
197.267761 86.134 175.2883
198.697250 86.120 175.4049
200.137085 86.101 175.5244
201.587372 86.088 175.7138
203.048157 86.076 175.8465
204.519531 86.067 175.9991
206.001556 86.056 176.1388
207.494324 86.048 176.2914
208.997925 86.038 176.4216
210.512405 86.033 176.5988
212.037857 86.031 176.7155
213.574371 86.023 176.8875
