* Measurement data measured by REW V5.20.4
* Source: Microphone (BGVP HiFi Audio-T01s), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 30 May, 2023 12:31:15 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: HA-FDX1 Green L
* Smoothing: None
* Frequency Step: 1/96 octave
* Start Frequency: 0.366 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
170.742462 86.592 175.1660
171.979736 86.580 175.3021
173.225967 86.567 175.2349
174.481232 86.528 175.3083
175.745605 86.526 175.3088
177.019119 86.485 175.3788
178.301880 86.516 175.4634
179.593933 86.485 175.3829
180.895340 86.497 175.4919
182.206177 86.454 175.4417
183.526520 86.431 175.7278
184.856430 86.424 175.7095
186.195984 86.377 175.7939
187.545227 86.380 175.9135
188.904266 86.361 175.8858
190.273132 86.349 175.9970
191.651932 86.342 176.0231
193.040726 86.313 176.1501
194.439575 86.302 176.1399
195.848572 86.268 176.2634
197.267761 86.258 176.1865
198.697250 86.232 176.2767
200.137085 86.220 176.3264
201.587372 86.222 176.3904
203.048157 86.203 176.4846
204.519531 86.196 176.5484
206.001556 86.183 176.7040
207.494324 86.172 176.7698
208.997925 86.162 176.8393
210.512405 86.139 176.9352
212.037857 86.123 177.0182
213.574371 86.104 177.1572
215.122025 86.091 177.2213
216.680893 86.082 177.2901
218.251053 86.051 177.4393
